StateName,Total_Shipments,Inbound_Shipments,Outbound_Shipments,Inbound_Percent,Outbound_Percent
Idaho,1081,758,323,70,30
South Carolina,3208,2054,1154,64,36
Oregon,2222,1389,833,63,37
South Dakota,342,213,129,62,38
Arizona,4633,2852,1781,62,38
North Carolina,6708,4039,2669,60,40
Tennessee,3667,2202,1465,60,40
Alabama,1992,1190,802,60,40
Florida,12316,7335,4981,60,40
Arkansas,928,543,385,59,41
