rank,sqft,name,location,builtfor,owner,completed,arch,architect,image
33,54246,Searles Castle,"Great Barrington, Massachusetts",Mary Hopkins Searles,John Dewey Academy,1883,Châteauesque,McKim Mead & White,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Searles_Castle%2C_Great_Barrington_MA.jpg/150px-Searles_Castle%2C_Great_Barrington_MA.jpg
34,53000,Nottoway,"White Castle, Louisiana",John Hampden Randolph,Paul Ramsay Foundation,1858,Greek Revival Italianate,Henry Howard,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Nottoway_Plantation.JPG/150px-Nottoway_Plantation.JPG
35,52897,Hala Ranch,"Aspen, Colorado",Bandar bin Sultan,John Paulson,1991,Rustic,Hagman Yaw,
36,53503,The Manor,"Los Angeles, California",Aaron Spelling,Petra Ecclestone,1988,Châteauesque,James Langenheim & Associates,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/The_Manor%2C_Holmby_Hills%2C_Los_Angeles%2C_in_2008.jpg/150px-The_Manor%2C_Holmby_Hills%2C_Los_Angeles%2C_in_2008.jpg
37,52300,Felix M. Warburg House,"New York, New York",Felix M. Warburg,Jewish Museum of New York,1906,Châteauesque,Charles Pierrepont Henry Gilbert,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Felix_Warburg_Mansion_001_stitched.jpg/150px-Felix_Warburg_Mansion_001_stitched.jpg
38,51000,Hacienda De La Paz,"Rolling Hills, California",John Z. Blazevich,John Z. Blazevich,2008,Spanish Colonial Revival,Rafael Manzano Martos,
39,50853,Chase Mansion,"West Hartford, Connecticut",Arnold Chase,Arnold Chase,2009,Georgian,Allan Greenberg,
40,50729,Perry Belmont House,"Washington, D.C.",Perry Belmont,Order of the Eastern Star,1909,Beaux-Arts,Ernest SansonHorace Trumbauer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Belmont_Mansion_%28Washington%2C_D.C.%29.JPG/150px-Belmont_Mansion_%28Washington%2C_D.C.%29.JPG
41,50316,Otto H. Kahn House,"New York, New York",Otto Hermann Kahn,Convent of the Sacred Heart,1914,Renaissance Revival,J. Armstrong StenhouseCharles Pierrepont Henry Gilbert,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Otto_Kahn_Mansion_010_stitched.jpg/150px-Otto_Kahn_Mansion_010_stitched.jpg
43,50000,Crocker-McMillin Mansion,"Mahwah, New Jersey",George Crocker,Ilija Pavlovic,1907,,James Brite and Henry Bacon,
43,50000,Reid Hall,"Purchase, New York",Whitelaw Reid,Manhattanville College,1892,Renaissance Revival,Stanford White,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/ManhattanvilleCollegeCastleSpringtime.jpg/150px-ManhattanvilleCollegeCastleSpringtime.jpg
43,50000,Wingwood House,"Bar Harbor, Maine",Alexander Cassatt,(demolished in 1953),1903,Neoclassical,Louis Magaziner,
43,50000,Riverside,"New York, New York",Charles M. Schwab,(demolished in 1948),1906,Châteauesque,Maurice H√©bert,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Charles_M._Schwab_House.jpg/150px-Charles_M._Schwab_House.jpg
43,50000,Hempstead House,"Sands Point, New York",Howard Gould,"Nassau County, New York",1912,Tudor Revival,Richard Howland Hunt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/HempsteadHouseSandsPoint.jpg/150px-HempsteadHouseSandsPoint.jpg
43,50000,Seven Springs,"Bedford, New York",Eugene Meyer,Donald Trump,1919,,,
44,49951,Chateau Bray,"Madisonville, Texas",Jim Waller,James and Sonya Bray,,French Baroque,Fonseca Design Group,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/6700-a.jpg/150px-6700-a.jpg
45,49842,Lutcher Brown Estate,"Terrell Hills, TX",H. Lutcher Brown,Candace Humphreys,1938,Neo Classical,Robert M. Ayres,
46,49568,8271 E Left Hand Fork Hobble Creek,"Springville, Utah",Tom Mower,Tom Mower,2010,Italian Renaissance,,
47,49300,The Pritzker Estate,"Los Angeles, California",Anthony Pritzker,Anthony Pritzker,2010,Contemporary,Grant Camden Kirkpatrick,
48,49000,Ziff Mansion,"Pawling, New York","William Bernard Ziff, Jr.",Dirk Edward Ziff,2000,,,
49,48515,50 Poplar Hill Drive,"Farmington, Connecticut",Benjamin Sisti,Casey Askar,1985,Contemporary,,
50,48438,1299 Via Tivoli,"Henderson, Nevada",Pierre Omidyar,"Pierre Omidyar (via Ohana Properties, LLC)",2010,Modern architecture,,
51,48000,Champ d'Or Estate,"Hickory Creek, Texas",Alan H. Goldfield,‚ÄúThe Olana‚Äù Walter Wedding Estates,2000,French Baroque Architecture,,
52,47000,Nemours,"Wilmington, Delaware",Alfred I. du Pont,Nemours Foundation,1909,Neoclassical,Carr√®re and Hastings,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Nemours_Mansion.JPG/150px-Nemours_Mansion.JPG
53,46054,Greystone Mansion,"Beverly Hills, California",Edward L. Doheny,City of Beverly Hills,1928,Tudor Revival,Gordon Kaufmann,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Greystone_Mansion.JPG/150px-Greystone_Mansion.JPG
54,46050,Carolands,"Hillsborough, California",Harriet Pullman Carolan,Charles Bartlett Johnson,1914,Second Empire,Ernest Sanson Willis Polk,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Carolands_Chateau-_South_Facade_with_Porte-coch%C3%A8re_gates_Feb.13_.jpg/150px-Carolands_Chateau-_South_Facade_with_Porte-coch%C3%A8re_gates_Feb.13_.jpg
55,46000,Elstowe Manor,"Elkins Park, Pennsylvania",William L. Elkins,Dominican Sisters of St. Catherine de' Ricci,1898,Italian Renaissance,Horace Trumbauer,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Elstowe_Manor%2C_Elkins_Estate_01.JPG/150px-Elstowe_Manor%2C_Elkins_Estate_01.JPG
56,45891,457 Bel Air Road,"Los Angeles, California",Beny Alagem,Beny Alagem,2006,French Normandy,Robert A.M. Stern,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/A02009-ESTO-2009A53.411_0.jpg/150px-A02009-ESTO-2009A53.411_0.jpg
57,45854,Villa Collina,"Moorestown, New Jersey",Vernon Hill,Vernon Hill,2002,Italian Renaissance,,
58,45843,Townsend House,"Washington, D.C.",Richard T. Townsend,Cosmos Club,1901,Beaux-Arts,Carr√®re and Hastings,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cosmos_Club_-_Blizzard_of_2010.JPG/150px-Cosmos_Club_-_Blizzard_of_2010.JPG
59,45000,Illinois Executive Mansion,"Springfield, Illinois",State of Illinois,State of Illinois,1855,Georgian Revival,John M. Van Osdel,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Executive_Mansion.JPG/150px-Executive_Mansion.JPG
59,45000,Yaddo,"Saratoga Springs, New York",Spencer Trask,Corporation of Yaddo,1893,Tudor Revival,William Halsey Wood,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/The_Mansion_at_Yaddo_%28ca._1905%29.jpg/150px-The_Mansion_at_Yaddo_%28ca._1905%29.jpg
